Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SpoiltRatio_prior,SnapshotYear,Target_Turnout
Eastern Cape,Ward 29200001,BUF,8851,0.5708959439611343,True,9.088285725968877,0.555891318766564,0.01583217890362161,2016,0.4004588591093961
Eastern Cape,Ward 29200002,BUF,7794,0.4665127020785219,True,8.961109485898655,0.5580215890090663,0.02035203520352035,2016,0.4416721097322011
Eastern Cape,Ward 29200003,BUF,8118,0.4169746242916974,True,9.001839097398843,0.5590325701883893,0.010044313146233382,2016,0.3385202288926814
Eastern Cape,Ward 29200004,BUF,9175,0.6742234332425068,True,9.12423767292277,0.5537825944955156,0.0040413837698027805,2016,0.4914763589578643
Eastern Cape,Ward 29200005,BUF,9228,0.5603597745990464,True,9.129997619293645,0.5561063426310964,0.019725391607039258,2016,0.4038021071919377
Eastern Cape,Ward 29200006,BUF,8327,0.5525399303470637,True,9.02725852623582,0.5562659312893001,0.01977830906324712,2016,0.4326311853421413
Eastern Cape,Ward 29200007,BUF,7130,0.5347826086956522,True,8.872066513408342,0.5566283256087167,0.021505376344086023,2016,0.4702388986367931
Eastern Cape,Ward 29200008,BUF,9130,0.5683461117196057,True,9.119320973589014,0.5559433561592482,0.025631142802081328,2016,0.4256541161455009
Eastern Cape,Ward 29200009,BUF,9063,0.4907867152157122,True,9.111955470054781,0.5575262009858583,0.00966726618705036,2016,0.385095281306715
Eastern Cape,Ward 29200010,BUF,9262,0.5899373785359534,True,9.133675287040697,0.5555027180609554,0.010980966325036604,2016,0.4118570867687475
Eastern Cape,Ward 29200011,BUF,7689,0.5601508648718949,True,8.94754601503218,0.5561106060949158,0.017181332714186207,2016,0.4210369930173823
Eastern Cape,Ward 29200012,BUF,8256,0.5362160852713178,True,9.018695487721343,0.5565990709847235,0.01355319629545968,2016,0.4049554781262098
