Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior
Eastern Cape,Ward 29200031,BUF,9070,0.5119073869900772,True,9.112727543109182,0.4491822434731414,2021,-0.06554256032288386,0.06193654138859617
Eastern Cape,Ward 29200032,BUF,7441,0.5324553151458138,True,8.914760527397261,0.4487628980005754,2021,-0.04284847766135447,-0.0866576653983061
Eastern Cape,Ward 29200033,BUF,7732,0.4887480600103466,True,8.953122840328222,0.44965488279925836,2021,-0.10976099217282703,-0.08507868891255477
Eastern Cape,Ward 29200034,BUF,7972,0.4844455594581033,True,8.983690681332686,0.44974268893297764,2021,-0.04424782446411624,-0.0547782783969647
Eastern Cape,Ward 29200035,BUF,8786,0.4891873435010243,True,9.080914824535725,0.4496459178300609,2021,-0.07776671084798809,-0.041143730219360464
Eastern Cape,Ward 29200036,BUF,6940,0.3661383285302593,True,8.84505705350085,0.4521571222172194,2021,-0.19261789707210974,-0.06582312558890835
Eastern Cape,Ward 29200037,BUF,8891,0.4013046901360926,True,9.09279480812114,0.4514394413681207,2021,-0.12794833231641167,-0.04026338514680483
Eastern Cape,Ward 29200038,BUF,7659,0.4175479827653741,True,8.943636705909594,0.4511079456001762,2021,-0.11868929695664132,-0.04951600893521968
Eastern Cape,Ward 29200039,BUF,8069,0.4595364977072748,True,8.995784837848506,0.4502510371319741,2021,-0.09189904803258342,-0.06207137045216782
Eastern Cape,Ward 29200040,BUF,8360,0.5270334928229665,True,9.031213706078747,0.44887354743573554,2021,-0.02558940391078468,-0.08061145936434622
Eastern Cape,Ward 29200041,BUF,6641,0.3940671585604577,True,8.801017833540714,0.45158714609415407,2021,-0.055765840771539565,-0.11275885103540417
Eastern Cape,Ward 29200042,BUF,6860,0.4399416909620991,True,8.83346272071993,0.45065093114718185,2021,-0.10354901003933148,-0.01859799713876964
Eastern Cape,Ward 29200043,BUF,8395,0.4464562239428231,True,9.035391569511642,0.45051798149451394,2021,-0.04967838269655844,-0.04558890404729421
Eastern Cape,Ward 29200044,BUF,8763,0.5459317585301837,True,9.07829359105585,0.4484878685437515,2021,-0.003203041726171807,-0.06398205511642807
Eastern Cape,Ward 29200045,BUF,8829,0.4503341261751047,True,9.085797036901582,0.4504388406326307,2021,-0.13712311441782576,0.006727480045610079
Eastern Cape,Ward 29200046,BUF,9058,0.4296754250386398,True,9.111403624116159,0.45086044677827286,2021,-0.16077287412783908,0.0202748366749268
Eastern Cape,Ward 29200047,BUF,8780,0.2248291571753986,True,9.080231686629162,0.4550409828571145,2021,-0.16036088214308103,0.15072083879423337
