Province,Ward,MunicipalityCode,Municipality_2016,Municipality_2021,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021
Eastern Cape,Ward 21209020,EC129,EC129 - Nkonkobe/Nxuba,EC129 - Raymond Mhlaba,3177,1850,0.5823103556814605,3306,1871,0.5659407138535996
Eastern Cape,Ward 21209021,EC129,EC129 - Nkonkobe/Nxuba,EC129 - Raymond Mhlaba,3792,2258,0.5954641350210971,3862,2071,0.5362506473329881
Eastern Cape,Ward 21209022,EC129,EC129 - Nkonkobe/Nxuba,EC129 - Raymond Mhlaba,3458,1901,0.5497397339502602,3380,1725,0.5103550295857988
Eastern Cape,Ward 21209023,EC129,EC129 - Nkonkobe/Nxuba,EC129 - Raymond Mhlaba,4853,2607,0.537193488563775,4725,2381,0.5039153439153439
Eastern Cape,Ward 21301001,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3495,2071,0.5925608011444922,3339,1721,0.515423779574723
Eastern Cape,Ward 21301002,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,2923,1654,0.5658569962367431,2601,1182,0.4544405997693195
Eastern Cape,Ward 21301003,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,2909,1735,0.5964248882777586,2841,1411,0.49665610700457585
Eastern Cape,Ward 21301004,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3660,1991,0.5439890710382513,3361,1574,0.4683130020827135
Eastern Cape,Ward 21301005,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3173,1994,0.6284273558146865,3221,1850,0.5743557901272897
Eastern Cape,Ward 21301006,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3360,1774,0.5279761904761905,3359,1462,0.43524858588865734
Eastern Cape,Ward 21301007,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,3295,1670,0.5068285280728376,3000,1399,0.4663333333333333
Eastern Cape,Ward 21301008,EC131,EC131 - Inxuba Yethemba,EC131 - Inxuba Yethemba,4705,2521,0.5358129649309246,4218,2002,0.4746325272641062
