Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior,Target_Turnout
Eastern Cape,Ward 29200001,BUF,8851,0.5708959439611343,True,9.088285725968877,0.555891318766564,2016,0.0194648169486119,0.3194692903995229,0.4004588591093961
Eastern Cape,Ward 29200002,BUF,7794,0.4665127020785219,True,8.961109485898655,0.5580215890090663,2016,-0.0559665646172441,0.1340026189436927,0.4416721097322011
Eastern Cape,Ward 29200003,BUF,8118,0.4169746242916974,True,9.001839097398843,0.5590325701883893,2016,0.0327859973846239,0.1259361997226074,0.3385202288926814
Eastern Cape,Ward 29200004,BUF,9175,0.6742234332425068,True,9.12423767292277,0.5537825944955156,2016,-0.0011179736113968,0.1820407111569182,0.4914763589578643
Eastern Cape,Ward 29200005,BUF,9228,0.5603597745990464,True,9.129997619293645,0.5561063426310964,2016,-0.0121507791630594,0.145766078966973,0.4038021071919377
Eastern Cape,Ward 29200006,BUF,8327,0.5525399303470637,True,9.02725852623582,0.5562659312893001,2016,-0.0326088883089656,0.2775391224301933,0.4326311853421413
Eastern Cape,Ward 29200007,BUF,7130,0.5347826086956522,True,8.872066513408342,0.5566283256087167,2016,0.0056842480399145,-0.0259562841530054,0.4702388986367931
Eastern Cape,Ward 29200008,BUF,9130,0.5683461117196057,True,9.119320973589014,0.5559433561592482,2016,0.0340527625509595,0.3554038004750595,0.4256541161455009
Eastern Cape,Ward 29200009,BUF,9063,0.4907867152157122,True,9.111955470054781,0.5575262009858583,2016,-0.023943506565155,0.0,0.385095281306715
Eastern Cape,Ward 29200010,BUF,9262,0.5899373785359534,True,9.133675287040697,0.5555027180609554,2016,0.0316721365497811,0.164299182903834,0.4118570867687475
Eastern Cape,Ward 29200011,BUF,7689,0.5601508648718949,True,8.94754601503218,0.5561106060949158,2016,-0.0126753550131485,-0.0596795890913538,0.4210369930173823
Eastern Cape,Ward 29200012,BUF,8256,0.5362160852713178,True,9.018695487721343,0.5565990709847235,2016,-0.0625934385382059,-0.0171428571428571,0.4049554781262098
Eastern Cape,Ward 29200013,BUF,8558,0.59546623042767,True,9.054621796976763,0.5553898843488795,2016,-0.0139886778921504,0.0674816015966071,0.4258757062146893
Eastern Cape,Ward 29200014,BUF,7616,0.53125,True,8.938006576471201,0.55670041966373,2016,-0.0219348133040476,0.1948540947599624,0.4495620231703871
Eastern Cape,Ward 29200015,BUF,8948,0.6165623603039786,True,9.09918532261002,0.5549593510860978,2016,0.0165867446004915,0.0909534259936601,0.488196218702095
Eastern Cape,Ward 29200016,BUF,9558,0.45323289391086,True,9.165133779138104,0.5582926055022838,2016,-0.1149758842623309,0.1338078291814946,0.4618898459932132
Eastern Cape,Ward 29200017,BUF,7714,0.5680580762250453,True,8.950792138768174,0.5559492344346474,2016,0.0243751914311967,0.0226700251889169,0.4308285163776493
Eastern Cape,Ward 29200018,BUF,8595,0.7159976730657359,True,9.05893591781695,0.552930058988919,2016,0.0907089894629645,0.2406177829099307,0.5960289251133717
Eastern Cape,Ward 29200019,BUF,8290,0.5867310012062726,True,9.022805248129341,0.5555681543329898,2016,0.0331567794011733,0.2967307993117472,0.4354066985645933
Eastern Cape,Ward 29200020,BUF,9264,0.5533246977547496,True,9.133891199812776,0.5562499156279187,2016,0.0386588374584084,0.400665255518597,0.4495458504417071
Eastern Cape,Ward 29200021,BUF,7215,0.5083853083853084,True,8.88391747120797,0.5571670460232135,2016,-0.0557139914237304,-0.0814767663908339,0.4324285092175932
Eastern Cape,Ward 29200022,BUF,9420,0.5248407643312102,True,9.150590367570409,0.5568312203916644,2016,-0.0543772196458315,0.1263900514169555,0.4467548076923077
