Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SpoiltRatio_prior,SnapshotYear
Eastern Cape,Ward 29200001,BUF,9589,0.4004588591093961,True,9.16837188715368,0.4514567032258084,0.009635416666666667,2021
Eastern Cape,Ward 29200002,BUF,7655,0.4416721097322011,True,8.943114308091785,0.4506156164784042,0.024253179532682637,2021
Eastern Cape,Ward 29200003,BUF,9961,0.3385202288926814,True,9.206432747145165,0.45272075690370056,0.013641755634638196,2021
Eastern Cape,Ward 29200004,BUF,9327,0.4914763589578643,True,9.140668698726863,0.4495992032289009,0.013089005235602094,2021
Eastern Cape,Ward 29200005,BUF,8732,0.4038021071919377,True,9.074749717669835,0.45138847367310353,0.005672149744753261,2021
Eastern Cape,Ward 29200006,BUF,8023,0.4326311853421413,True,8.990067695753655,0.4508001251394258,0.014405070584845865,2021
Eastern Cape,Ward 29200007,BUF,7409,0.4702388986367931,True,8.910450756416656,0.45003262078647377,0.010907003444316877,2021
Eastern Cape,Ward 29200008,BUF,9402,0.4256541161455009,True,9.148677711584076,0.4509425143067042,0.02123938030984508,2021
Eastern Cape,Ward 29200009,BUF,8816,0.385095281306715,True,9.084323531392696,0.4517702456299448,0.010603829160530192,2021
Eastern Cape,Ward 29200010,BUF,7641,0.4118570867687475,True,8.941283763647567,0.4512240863348012,0.02986971719097553,2021
Eastern Cape,Ward 29200011,BUF,6731,0.4210369930173823,True,8.814479000010714,0.4510367413093189,0.027875793930839804,2021
Eastern Cape,Ward 29200012,BUF,7749,0.4049554781262098,True,8.95531908176395,0.4513649354907714,0.017845761631612493,2021
Eastern Cape,Ward 29200013,BUF,8850,0.4258757062146893,True,9.088172738001974,0.45093799206039425,0.023613690634120457,2021
Eastern Cape,Ward 29200014,BUF,7078,0.4495620231703871,True,8.864746660905409,0.4504545978368086,0.016656191074795726,2021
Eastern Cape,Ward 29200015,BUF,9785,0.488196218702095,True,9.188605879830176,0.4496661448667737,0.00816411974042286,2021
Eastern Cape,Ward 29200016,BUF,7662,0.4618898459932132,True,8.944028325260595,0.45020300961593457,0.010172365074879909,2021
